Proporsi penghapusan,Random Forest,Accuracy SISA,Accuracy DaRE,Time Base,Time SISA,Time DaRE,Accuracy Base
0.5208,,0.8888888888888888,0.9722222222222222,0.04192924499511719,0.0407567024230957,0.0,0.9444444444444444
0.5278,,0.9166666666666666,0.9722222222222222,0.042777061462402344,0.03401541709899902,0.0,0.8888888888888888
0.5347,,0.9166666666666666,0.9722222222222222,0.0417790412902832,0.03461265563964844,0.0,0.8888888888888888
0.5417,,0.9166666666666666,0.9722222222222222,0.033357858657836914,0.034839630126953125,0.0,0.8888888888888888
0.5486,,0.8611111111111112,0.9722222222222222,0.034334421157836914,0.03442502021789551,0.00225830078125,0.8888888888888888
0.5556,,0.8333333333333334,0.9722222222222222,0.038588523864746094,0.034881591796875,0.0,0.8888888888888888
0.5625,,0.8333333333333334,0.9722222222222222,0.03449130058288574,0.04253578186035156,0.0015070438385009766,0.8888888888888888
0.5694,,0.8333333333333334,0.9722222222222222,0.05819845199584961,0.03960704803466797,0.0009398460388183594,0.8888888888888888
0.5764,,0.8333333333333334,0.9444444444444444,0.03821301460266113,0.048079729080200195,0.0,0.9444444444444444
0.5833,,0.8055555555555556,0.9722222222222222,0.0411992073059082,0.040659189224243164,0.0,0.9444444444444444
0.5903,,0.8611111111111112,0.9444444444444444,0.04082798957824707,0.03469967842102051,0.0,0.9444444444444444
0.5972,,0.8611111111111112,1.0,0.03590750694274902,0.034131765365600586,0.0,0.9444444444444444
0.6042,,0.8888888888888888,1.0,0.04096055030822754,0.034931182861328125,0.0026721954345703125,0.9444444444444444
0.6111,,0.8888888888888888,1.0,0.05340099334716797,0.048220157623291016,0.0,0.9166666666666666
0.6181,,0.8611111111111112,0.9722222222222222,0.04106783866882324,0.035538673400878906,0.0,0.7222222222222222
0.625,,0.8055555555555556,0.9722222222222222,0.04063916206359863,0.04015707969665527,0.0017426013946533203,0.7222222222222222
0.6319,,0.8055555555555556,0.9444444444444444,0.03912758827209473,0.034735679626464844,0.0,0.6666666666666666
0.6389,,0.7222222222222222,0.9444444444444444,0.034906625747680664,0.035001277923583984,0.0,0.5833333333333334
0.6458,,0.6944444444444444,0.9444444444444444,0.034295082092285156,0.03613758087158203,0.0,0.5833333333333334
0.6528,,0.7777777777777778,0.9444444444444444,0.03466987609863281,0.034784555435180664,0.0,0.5833333333333334
0.6597,,0.8611111111111112,0.9722222222222222,0.04185009002685547,0.041799068450927734,0.0,0.5833333333333334
0.6667,,0.8611111111111112,0.9722222222222222,0.03362774848937988,0.03488898277282715,0.006975889205932617,0.5833333333333334
0.6736,,0.7777777777777778,0.9722222222222222,0.0350191593170166,0.03490567207336426,0.0,0.5833333333333334
0.6806,,0.7777777777777778,0.9722222222222222,0.035115718841552734,0.04117584228515625,0.0,0.5833333333333334
0.6875,,0.6944444444444444,0.9722222222222222,0.035037994384765625,0.034388065338134766,0.0,0.5833333333333334
0.6944,,0.7222222222222222,0.9166666666666666,0.03470897674560547,0.034716129302978516,0.006402730941772461,0.5833333333333334
0.7014,,0.6944444444444444,0.9722222222222222,0.035043954849243164,0.03489875793457031,0.002612590789794922,0.5833333333333334
0.7083,,0.75,0.9722222222222222,0.03881025314331055,0.034882307052612305,0.0,0.5833333333333334
0.7153,,0.75,0.9722222222222222,0.04161667823791504,0.03516340255737305,0.0,0.6388888888888888
0.7222,,0.75,0.9444444444444444,0.034731149673461914,0.034757137298583984,0.0,0.6388888888888888
0.7292,,0.75,0.9444444444444444,0.034583330154418945,0.03510236740112305,0.0,0.6388888888888888
0.7361,,0.75,0.9166666666666666,0.034638166427612305,0.03585362434387207,0.006801605224609375,0.6388888888888888
0.7431,,0.75,0.9444444444444444,0.03480386734008789,0.03381490707397461,0.0,0.6388888888888888
0.75,,0.75,0.8611111111111112,0.03473162651062012,0.03478741645812988,0.0,0.6388888888888888
0.7569,,0.6666666666666666,0.8333333333333334,0.03551363945007324,0.04094839096069336,0.0,0.6388888888888888
